Surface,MedAsfc:1x1,MedAsfc:2x2,MedAsfc:3x3,MedAsfc:4x4,MedAsfc:5x5,MedAsfc:6x6,MedAsfc:7x7,MedAsfc:8x8,MedAsfc:9x9,MedAsfc:10x10,MedAsfc:11x11,MedAbsDevAsfc:1x1,MedAbsDevAsfc:2x2,MedAbsDevAsfc:3x3,MedAbsDevAsfc:4x4,MedAbsDevAsfc:5x5,MedAbsDevAsfc:6x6,MedAbsDevAsfc:7x7,MedAbsDevAsfc:8x8,MedAbsDevAsfc:9x9,MedAbsDevAsfc:10x10,MedAbsDevAsfc:11x11,MeanAsfc:1x1,MeanAsfc:2x2,MeanAsfc:3x3,MeanAsfc:4x4,MeanAsfc:5x5,MeanAsfc:6x6,MeanAsfc:7x7,MeanAsfc:8x8,MeanAsfc:9x9,MeanAsfc:10x10,MeanAsfc:11x11,StdDevAsfc:1x1,StdDevAsfc:2x2,StdDevAsfc:3x3,StdDevAsfc:4x4,StdDevAsfc:5x5,StdDevAsfc:6x6,StdDevAsfc:7x7,StdDevAsfc:8x8,StdDevAsfc:9x9,StdDevAsfc:10x10,StdDevAsfc:11x11,MedRelA(10):1x1,MedRelA(10):2x2,MedRelA(10):3x3,MedRelA(10):4x4,MedRelA(10):5x5,MedRelA(10):6x6,MedRelA(10):7x7,MedRelA(10):8x8,MedRelA(10):9x9,MedRelA(10):10x10,MedRelA(10):11x11,MedAbsDevRelA(10):1x1,MedAbsDevRelA(10):2x2,MedAbsDevRelA(10):3x3,MedAbsDevRelA(10):4x4,MedAbsDevRelA(10):5x5,MedAbsDevRelA(10):6x6,MedAbsDevRelA(10):7x7,MedAbsDevRelA(10):8x8,MedAbsDevRelA(10):9x9,MedAbsDevRelA(10):10x10,MedAbsDevRelA(10):11x11,MeanRelA(10):1x1,MeanRelA(10):2x2,MeanRelA(10):3x3,MeanRelA(10):4x4,MeanRelA(10):5x5,MeanRelA(10):6x6,MeanRelA(10):7x7,MeanRelA(10):8x8,MeanRelA(10):9x9,MeanRelA(10):10x10,MeanRelA(10):11x11,StdDevRelA(10):1x1,StdDevRelA(10):2x2,StdDevRelA(10):3x3,StdDevRelA(10):4x4,StdDevRelA(10):5x5,StdDevRelA(10):6x6,StdDevRelA(10):7x7,StdDevRelA(10):8x8,StdDevRelA(10):9x9,StdDevRelA(10):10x10,StdDevRelA(10):11x11
Aimaginotherium_FMOE19096_1_a.sur,15.52615441,16.30659775,15.73381166,16.11484806,15.22239487,14.74256532,14.21467814,15.25975758,14.80449573,15.80388313,15.81551743,0,1.423514745,2.598995005,3.586824319,3.473028118,4.789989094,5.614032668,5.694690695,5.584383598,7.111563991,7.728453435,15.52615441,15.65897557,16.00650509,16.2289293,16.27704873,16.82031201,16.82627344,16.99246495,17.13057373,18.55816868,18.91213684,0,1.018949145,3.140477215,4.598100995,4.345989214,6.412893785,7.58698069,7.607065553,7.247519026,10.67921862,11.39325232,1.041079738,1.043246603,1.038197285,1.041682287,1.034394456,1.036243206,1.038216834,1.037783763,1.033786675,1.034879073,1.035134315,0,0.003568443,0.011966798,0.010281893,0.012492132,0.014955572,0.016862704,0.015790937,0.017141591,0.0194062,0.018877178,1.041079738,1.040651673,1.042557186,1.040281285,1.041465616,1.042341097,1.043515467,1.041023153,1.0404828,1.042634944,1.040748262,0,0.003190625,0.016718467,0.011835898,0.0165462,0.02209241,0.026516474,0.0217693,0.023511398,0.029479521,0.030112397
Aimaginotherium_FMOE19096_1_b.sur,9.170758528,9.881943341,8.860864786,9.577664818,9.084462851,9.682448713,9.513528476,10.27219047,10.01157643,10.42789021,10.23444827,0,0.952867681,1.299819224,1.908533895,2.340217217,2.260202718,2.741185373,3.57046338,3.075486163,3.373940419,3.854219581,9.170758528,9.255009699,9.309586881,9.452730307,9.754320553,10.18373061,10.29909806,10.96665737,10.58730834,10.85731069,11.09606896,0,0.94332764,1.369086813,2.266590895,2.71447564,2.937010301,3.505374522,5.17925068,3.917642765,4.215218448,4.894427871,1.027754683,1.030285011,1.030004019,1.028112336,1.026075778,1.026239181,1.026519718,1.025130714,1.024747266,1.024780948,1.021350233,0,0.005296124,0.004505537,0.005485222,0.00686232,0.005595782,0.007714084,0.009049154,0.008776592,0.008541013,0.009967551,1.027754683,1.027566372,1.02859055,1.028000677,1.027439352,1.026547188,1.027381482,1.026804234,1.025931522,1.025157941,1.024347641,0,0.003845985,0.005005878,0.006311061,0.008800302,0.007230507,0.00973399,0.011797243,0.010971589,0.011251773,0.012794688
Aimaginotherium_FMOE19096_1_c.sur,7.019750477,9.386559952,8.453298641,9.583220219,9.159598485,9.261473688,10.17929854,10.19065821,10.14338089,10.43127533,10.49943184,0,0.750330724,2.241485464,2.068552533,1.940998999,3.497837814,2.954608758,4.956324872,5.464504382,5.811903204,5.130151735,7.019750477,8.914654496,8.885122564,9.79592879,9.818321957,10.43029552,10.79696299,11.7281562,11.77196326,13.20442603,12.64046031,0,0.564968575,2.521262909,2.830882443,2.920037168,5.697771745,4.380377282,7.931044431,8.728398027,9.93536435,7.795884754,1.03798926,1.040676986,1.038572841,1.038583153,1.032709694,1.032254019,1.029522278,1.028435118,1.028048668,1.028322128,1.027307081,0,0.004130767,0.007462565,0.005789991,0.006769592,0.00964156,0.009662629,0.014428454,0.013634534,0.015079252,0.014014003,1.03798926,1.037728519,1.035871363,1.035190337,1.033039034,1.033562057,1.032111277,1.034161039,1.032563242,1.033441627,1.031756051,0,0.003426228,0.008952893,0.007151076,0.008348507,0.013592594,0.013852502,0.022476442,0.021284306,0.023169785,0.020551648
Aimaginotherium_FMOE19096_1_d.sur,6.007184925,6.945198133,7.048475479,6.801717556,7.589612808,8.462236809,8.01992583,8.83257911,9.032922098,8.500357314,9.062697061,0,1.56551163,1.85946151,1.666256624,2.01958086,2.443606101,2.830987504,2.716890171,3.857136386,3.76358465,3.804022971,6.007184925,6.098080034,7.358282594,7.082753699,8.252107918,8.237655871,8.848416494,8.939001916,9.829381862,9.620475193,10.05404184,0,1.17171502,2.182481327,2.169727013,2.740756318,3.122665427,4.230679773,3.695910437,5.93147688,5.326016534,5.55516307,1.030454119,1.034416194,1.029736008,1.030122,1.027483181,1.028056873,1.024038053,1.026068198,1.026772127,1.024458327,1.02256914,0,0.007221454,0.007237372,0.007355768,0.008048843,0.0085912,0.00904861,0.010260476,0.011386585,0.011734257,0.011844329,1.030454119,1.02994434,1.029795851,1.029801451,1.02904411,1.028057574,1.027169778,1.027681024,1.026779494,1.027587018,1.026793142,0,0.005486086,0.00806334,0.009409961,0.009503024,0.010450256,0.01138257,0.013367622,0.013668898,0.016474239,0.015552684
Aimaginotherium_FMOE20777_1_a.sur,3.291436797,4.837007204,2.351857416,3.214834037,2.641600863,2.793728708,2.710572789,2.747762376,2.246106588,2.431967256,2.299409691,0,2.565955201,1.764648977,1.890864168,2.024063209,2.329265252,2.227238426,2.515613575,2.657879385,2.964083658,2.896605433,3.291436797,3.299501709,3.3853554,3.505985811,3.626215675,3.733475855,3.679147348,3.903864302,3.843350654,4.300936078,4.225533618,0,1.892552223,2.026609597,2.217938857,3.133566344,3.098945618,2.998135083,3.779448758,3.854319458,5.203843089,4.632585339,1.01013223,1.014082271,1.008844427,1.010027375,1.006810726,1.007369723,1.005297072,1.005813593,1.005001662,1.004647817,1.004404555,0,0.006158286,0.00479535,0.00569753,0.006200839,0.006593999,0.006469231,0.006685893,0.006988927,0.007247685,0.007047636,1.01013223,1.010155324,1.010055033,1.009774078,1.009948413,1.009961882,1.009649756,1.009523809,1.00963143,1.009842386,1.009447884,0,0.004893326,0.00577149,0.006034599,0.01013003,0.009437722,0.009553073,0.010092821,0.010477411,0.013790514,0.012080941
Aimaginotherium_FMOE20777_1_b.sur,3.816043737,5.198120102,2.76805031,4.348093073,3.351597633,2.957565794,2.925736358,3.199476678,2.568496038,3.2780388,2.913318726,0,2.57965456,2.601950142,2.712148294,3.501525804,3.3148615,3.364304949,3.971720773,4.074672934,4.300852699,4.441273798,3.816043737,3.92268493,4.093205496,4.506426456,5.190609411,4.862929896,4.92740052,5.501506886,5.283550989,5.784235837,5.91126796,0,2.021266966,2.912634646,3.533829235,5.606163899,4.662780606,5.009242463,6.383117853,7.072053259,7.237882192,7.85540833,1.015671745,1.023004779,1.008567133,1.015517297,1.010942224,1.007640512,1.008725193,1.007494101,1.006725971,1.007210053,1.006659528,0,0.013816166,0.01305739,0.010671994,0.011229752,0.011579637,0.01229409,0.012390885,0.012344759,0.012512021,0.012751651,1.015671745,1.016290958,1.016884294,1.016130948,1.015815114,1.015344399,1.016193607,1.015766154,1.015422016,1.015615356,1.015681246,0,0.010662308,0.016034735,0.014343976,0.016514333,0.016229974,0.019137769,0.021619138,0.022593256,0.022573524,0.024376155
Aimaginotherium_FMOE20777_1_c.sur,2.751141833,4.994266595,3.906460833,2.798014765,2.149091919,2.602082358,2.417971031,2.047004355,2.302723466,2.027872455,1.625418341,0,2.645804556,1.740196329,1.957900566,2.476935913,2.392213954,2.599102466,2.976378216,3.090832542,3.130195723,3.275826966,2.751141833,3.587966627,3.021570208,3.20758748,3.552790471,3.497670958,3.637492061,3.812361051,4.031759153,3.818682494,3.953056284,0,2.082168813,1.819542797,2.436057784,3.208809683,3.475998366,3.736562453,4.137643831,4.929195895,4.640641328,5.395518976,1.011518209,1.016944711,1.011184009,1.011269488,1.006560563,1.006258574,1.006022511,1.00498952,1.004790573,1.004001118,1.003243453,0,0.008358736,0.008091323,0.007366669,0.008604654,0.00831689,0.00890755,0.009327912,0.00902937,0.008020672,0.008678498,1.011518209,1.011637974,1.01128272,1.011048202,1.010975594,1.011036031,1.011212442,1.011037568,1.010794274,1.009659636,1.010247926,0,0.00692844,0.008614766,0.008566293,0.01113475,0.012695489,0.01329191,0.013964863,0.014251722,0.011923748,0.015695438
Aimaginotherium_FMOE20777_1_d.sur,2.497685161,3.080164818,2.658649504,3.526584546,2.126428569,2.080035312,1.942619615,1.729972143,1.861621336,1.859911844,1.369484064,0,0.843945362,1.573492553,1.384213161,2.007476115,2.133728618,2.188452709,2.269433181,2.48195959,2.557405302,2.593785185,2.497685161,2.550073166,2.819921764,2.769504514,2.977414401,3.047867922,3.100888736,2.999984044,3.178438519,3.279893657,3.276219387,0,0.877302802,2.000293127,1.545875581,2.966712731,3.459130967,4.095894807,3.197961151,4.581880539,4.726940686,6.027588294,1.008254879,1.011654409,1.006909268,1.009037717,1.006080909,1.00487077,1.00432276,1.004244866,1.003778015,1.003466254,1.002816011,0,0.006428135,0.005648766,0.004741302,0.006230986,0.006354756,0.006141252,0.006230147,0.006415385,0.006287769,0.006410719,1.008254879,1.008053491,1.008374853,1.007753386,1.008260243,1.008178776,1.008054251,1.00769652,1.007792903,1.007671954,1.007622561,0,0.004694378,0.007609119,0.005084934,0.010202017,0.011426264,0.012880977,0.009727271,0.013079242,0.01370277,0.016045348
Aimaginotherium_FMOE20777_2_a.sur,5.435152302,6.570567456,4.854522089,5.765687132,5.45346612,5.635256939,5.350370212,5.844501636,5.927707246,6.15382817,5.598798154,0,1.709631873,1.144815775,1.218991937,1.582659634,1.578448449,1.660983284,1.772977518,1.903802831,2.113489885,2.569167666,5.435152302,5.429747953,5.535634804,5.610709169,5.867394062,5.953248091,5.99021462,6.066496397,6.154692134,6.245289782,6.475309397,0,1.340352166,1.251267128,1.373566249,1.863734591,2.131126486,2.081029966,2.161085804,2.601830013,2.717771319,3.650060868,1.016740732,1.019858815,1.017203936,1.015911811,1.015097806,1.015714219,1.015051036,1.013045114,1.01381854,1.012661527,1.011607551,0,0.005173669,0.002960868,0.00470154,0.004253061,0.004797597,0.005412112,0.005162816,0.005966739,0.006137099,0.006743189,1.016740732,1.016882021,1.016765911,1.016438401,1.016260591,1.016068657,1.015892776,1.015127091,1.015354216,1.014886581,1.014599207,0,0.003787487,0.003472321,0.005759681,0.006052427,0.006256264,0.006674933,0.006888995,0.008416991,0.008390797,0.010534937
Aimaginotherium_FMOE20777_2_b.sur,5.587119914,7.34332587,6.496597598,6.897232787,7.120602171,7.26656938,7.361558806,7.774145895,8.166450867,7.819783781,7.768369612,0,2.051183495,1.700414411,1.446075867,2.939905685,2.990227507,3.427044222,3.13009549,4.456972483,3.640707791,5.185538645,5.587119914,6.333416977,7.139863965,6.908031875,8.67138953,8.599773686,8.903395431,8.398466187,9.81260062,8.211076196,8.723274092,0,1.521738105,2.987266248,1.685375669,4.732604618,5.364148062,5.265577114,4.920975569,9.294448676,7.643297635,10.34292491,1.028619418,1.029547072,1.025342683,1.02544678,1.020982288,1.021050191,1.019423743,1.019372445,1.019506381,1.01931805,1.01749357,0,0.005208514,0.004906426,0.003844044,0.008279047,0.008822401,0.010560508,0.009233274,0.012345718,0.010258216,0.012245381,1.028619418,1.026928118,1.026784246,1.024461689,1.026344333,1.024803429,1.025937163,1.02432441,1.026249642,1.023691725,1.024860827,0,0.003743243,0.006786398,0.004671572,0.012856798,0.013035111,0.017669173,0.014283256,0.021620768,0.018426469,0.023354588
