Filename,Asfc1om,Rsquared,LineStart,OrdersOfMagnitude, RelA (scale: 10), StdDev (scale: 10), Scale (10),Units,epLsar1.80?m,veLsar1.80?m,epPdnr1.80?m
Pconcolor_FLMNH19096_1_a.sur,15.526154,0.997568,0.150016,1,1.039272823,12.02032916,2.016878931,?m,0.002046,0.661338,86.534243
Pconcolor_FLMNH19096_1_b.sur,9.170759,0.998994,0.152104,1,1.02668352,11.16320455,2.044948553,?m,0.00153,0.674894,21.102157
Pconcolor_FLMNH19096_1_c.sur,7.01975,0.97588,129.824896,1,1.037303549,11.28068548,2.028514,?m,0.004042,0.698331,34.536422
Pconcolor_FLMNH19096_1_d.sur,6.007185,0.999155,0.150789,1,1.029669755,11.10357209,2.027278751,?m,0.00335,0.699547,44.305924
Pconcolor_FLMNH20777_1_a.sur,3.291437,0.999368,0.266549,1,1.009474512,10.75026429,2.015775583,?m,0.002695,0.635646,61.164694
Pconcolor_FLMNH20777_1_b.sur,3.816548,0.998676,0.149947,1,1.015179157,11.0326449,2.015955943,?m,0.003145,0.694094,65.906604
Pconcolor_FLMNH20777_1_c.sur,2.751316,0.997091,0.149922,1,1.011038718,10.75190367,2.015622876,?m,0.003104,0.680686,39.076303
Pconcolor_FLMNH20777_1_d.sur,2.497685,0.998679,0.266507,1,1.007793392,10.81589357,2.015458986,?m,0.00324,0.658802,10.564096
Pconcolor_FLMNH20777_1D_a.sur,5.435152,0.996846,0.149878,1,1.015846994,10.87936847,2.015029547,?m,0.002427,0.608814,66.703386
Pconcolor_FLMNH20777_1D_b.sur,5.58712,0.998733,0.150723,1,1.028011058,11.06150399,2.026387704,?m,0.000545,0.414573,20.550625
Pconcolor_FLMNH20777_1D_c.sur,3.734469,0.996886,0.149935,1,1.014181313,10.77462736,2.015786773,?m,0.004041,0.680909,65.757726
Pconcolor_FLMNH20777_1D_d.sur,6.699766,0.997966,0.150115,1,1.021435937,10.94617282,2.018213094,?m,0.001867,0.621067,87.519384
Pconcolor_FLMNH27148_1_a.sur,2.219859,0.999204,0.266962,1,1.008857194,10.71600102,2.018900103,?m,0.001882,0.599088,6.36092
Pconcolor_FLMNH27148_1_b.sur,1.668481,0.999289,0.267026,1,1.00721173,10.69041742,2.019386943,?m,0.004057,0.650923,40.757118
Pconcolor_FLMNH27148_1_c.sur,1.668178,0.998605,0.267005,1,1.007297379,10.69999378,2.019221582,?m,0.002463,0.657728,35.975294
Pconcolor_FLMNH27148_1_d.sur,1.288401,0.99955,0.266832,1,1.004446757,10.66284469,2.017914746,?m,0.003199,0.634582,28.53132
Pconcolor_FLMNH27148_1D_a.sur,1.015303,0.999332,0.266456,1,1.005454612,10.64281695,2.015074956,?m,0.006577,0.702105,9.498871
Pconcolor_FLMNH27148_1D_b.sur,1.546618,0.99224,180.143771,1,1.007999585,10.67915559,2.015291812,?m,0.005061,0.703473,72.927043
Pconcolor_FLMNH27148_1D_c.sur,0.658154,0.999489,0.266494,1,1.003283878,10.61860743,2.015361906,?m,0.003277,0.616359,51.866873
Pconcolor_FLMNH27148_1D_d.sur,0.668328,0.998853,0.416461,1,1.003580866,10.61729866,2.015672571,?m,0.002268,0.631093,156.838967
